path	client_id	generated_path	sentence	generated_sentence
common_voice_en_37476269.mp3	00778b9356111e5c05365103769fb9ec90fc07e08476add0f61176386783c4be2167959032db674e47e725f640426d62e98048e4a8adb90b34c09797c945e7c0	generated_voice_en_37476269.mp3	This led to both the Red Terror and the White Terror.	While in Eltham he was a member of the Priory Players amateur dramatics group.
common_voice_en_37406282.mp3	023a5e6a4ca85bad19139255b57274785ae3faae96a7897063358c2ab31d8c3d3d90f2bb78889bef26aeb00c985c52e4eb5e44e35411ba98dbd1b3f80fa229e2	generated_voice_en_37406282.mp3	Its members include representatives of the teaching staff, students, and the parents of students.	In the American edition Banana dedicates her book to Kurt Cobain.
common_voice_en_37740889.mp3	02efbf700a190d3114277b0b5e1a0cb00f653cfcd215ce31d258e1a1165115cea9feb70627d8011e827c7a1543b359589539583f86e3c4df3d218685672e1758	generated_voice_en_37740889.mp3	Paper wine labels have long been collected.	Another medication administered to kill worm infections has been pyrantel pamoate.
common_voice_en_37355311.mp3	033de9ff626035f924f0c3e5a907c459b0a5f28c4bdc1c44e26a8e771f2a2233f304331cef41578ca13f0f59ac492569fd48ee7ab7bdcc49ed410cc6e5492644	generated_voice_en_37355311.mp3	I wondered if those birds were redwings?	In the series' final issue, the dark double killed the original, gaining autonomy.
common_voice_en_37442699.mp3	05627b7dd6431caab6b11370280f496f99805ce901f0b5e54ce1eba4dd462fe23a57cde42e5a663dfeb0793f2d43ac95f525f5916846a77475212048cd717729	generated_voice_en_37442699.mp3	Henry Heimlich also promoted abdominal thrusts as a treatment for drowning and asthma attacks.	In most developed countries, there are a number of providers of such data.
common_voice_en_37538724.mp3	064ea87593d540092997b73680cbd3a0ae9791b5f6822d6a8467536b54893ef072b8baa4547f5a12940388ac8f11bf67c8baae5b12049fa5f1020911a524efd6	generated_voice_en_37538724.mp3	Bonallack was born in Chigwell, Essex.	In treeless regions these firs often form isolated clumps on the hills.
common_voice_en_37607972.mp3	06b6671a98b8bbdee86578cc34735cc229acdbdb489f1c0a3295ee66e60fab298cc841519309609518d7ca8ea4d15942539866571cd60013bb7570738c15ca14	generated_voice_en_37607972.mp3	The number of chime sets matches the number of quarter hours that have passed.	He had no children; he was survived by his second wife Emma.
common_voice_en_37329538.mp3	07a3550eb85d2640f3cc167535baa83a8043f89bb95f9ad300e5fd21a71f94a5e53828db6714d67edfdbcef48a08a048f493ac03ff2ac6e98c287b637115fee9	generated_voice_en_37329538.mp3	Subsequently, an anterior approach was introduced.	It was not recognized by any country outside the Arab League.
common_voice_en_37437567.mp3	0a8c8c625942b9202aac7ffd658989fc3865733649430ba64570cc2109dc40d3c495f49f16742f430315d9745ab4f632b20192b19000e5cb60f91f5e2eb0666f	generated_voice_en_37437567.mp3	The Atbara flows only while there is rain in Ethiopia and dries very rapidly.	There are many unpublished materials in this language.
common_voice_en_37431810.mp3	0bc93f8cc82c5db590ab9732167f7086b804bb1847add773979d8352b302e9110906885fe88c242297de5475951dfca89f47f000b3fbc8500d007105307f2e8d	generated_voice_en_37431810.mp3	He devoted the rest of his years to Saint Thomas.	He was also known for his fair treatment of prisoners.
common_voice_en_37288403.mp3	0e6596008a02f5d68ed0373ffe66c685867601a09f34007241281245af0ec6da1bd496d07c12839a62792bae8c812331fb6e6ac488dcbf413394f84d6c2cee53	generated_voice_en_37288403.mp3	Katsande and her son were accused of voter intimidation.	Wheat farms and ranches surround the small town.
common_voice_en_37654589.mp3	0fe767b89ca23961faf65db51ca6b515be32a07e647212e9a4805afa641489300253359d4fedaae5047d1cc8e7d43aa9cb94c2d9c99b986e2e8dae22235f9080	generated_voice_en_37654589.mp3	Later they were thought to be deposits of volcanic ash or streaks of dust.	His wife Willa spent the rest of her life in a German nunnery.
common_voice_en_37306834.mp3	112cd3116a2d0026097e95e2af0f5cbbef4971d11fb6dcb2e19090171577f5daab04d1c918940c69644ec58700fd80e1c50ad834a8b86ae39134ebd45a706339	generated_voice_en_37306834.mp3	Data was stored in big-endian format.	The mycelium advances intracellularly through the root cortex and into the xylem.
common_voice_en_37597195.mp3	122a08f809b231fef58d841540e42177519e5cfa0665940af34392361d0fb5066ab77973b00a6a9aefb0bd1d084fafaf07dd1d7aa6c40e7caf8f784a33ebe9fc	generated_voice_en_37597195.mp3	The Tourist Information Center is run by the Virden Chamber of Commerce.	He wrote plays for stage and radio.
common_voice_en_37569251.mp3	13dc54120a4d60e80c7971c4d0a4a0fd642d70a16175c02d48feae0472ffc5c56a8f0154ddf31bd19f45b94cdfe045c7a79d1a3dfedb3dc2c73cfc6641b3f731	generated_voice_en_37569251.mp3	Many of these stands were never cleared for agriculture.	Miller was born in Atlanta and grew up in Conyers, Georgia.
common_voice_en_37389720.mp3	1566e2802bc0a2e60dda1bee73bd9af00f4aa9a18c024109156632dc6c8fbad0e6f2c5270115bfa9e5426b75a1f0108f519ec797f13045233fd34df80d32fdfb	generated_voice_en_37389720.mp3	Gluck is grandmother to actress Stephanie Zimbalist.	Both leaders used their parties to fight for power.
common_voice_en_37840118.mp3	175e594c70421000bfd8371221bf1763b61e9b570de02d32208f57f5ce374ad696625299a37d2aef9f837171d6e617e111a67430e95265c5aa6f95072677bc97	generated_voice_en_37840118.mp3	Another village is the Aldabra Research Station on Aldabra.	This resulted in a one-year ban from the sport.
common_voice_en_37398637.mp3	17ea9722a7d39e2d80a05f3689d4dc1632734610f57db8c389a79747801f3096156dcef5894395d67fbc6333244d2373cdb56d61e72a3b0e92bf8af5aa0ea62e	generated_voice_en_37398637.mp3	Birds from humid regions are darker than those from dry regions.	Their feud culminated at Sin, which saw Reno pin Vito.
common_voice_en_37798232.mp3	1895fd41d230570cdd48273eabc9df6cd53cf97c12f3ef2127c005780121d568074686193914c7358f628dbe0db87646aaab880118e2c451b50edf487d552079	generated_voice_en_37798232.mp3	He constantly overeats and watches classic movies, and his hero is Ward Cleaver.	The indicator shows the direction to steer to correct for course deviations.
common_voice_en_37614458.mp3	1d6e4bc98ac6b2bc78bb86c444cdc9858288a720a7ffa393ab64bdc199348356db5495e6debeec1cf87560802d9e3f4e1c1e55992516afae14c236e377f7176f	generated_voice_en_37614458.mp3	"She has written about it in ""The Sun"" and in ""Pensions Week""."	In Greek this came to mean the divine bright disk.
common_voice_en_37879195.mp3	1dfccb2c9f06400d05b22086331559f95dcd7c7f294b555ff19e09c0c2d9bcdd5606085fdcd27202d2021e3dde38bb20f38f57b9613c11446eaff302a114c13c	generated_voice_en_37879195.mp3	The helicopter manages to land on the plateau and extract Swann.	It can be.
common_voice_en_37323803.mp3	1ea509cc35454b510cc140e37bc0019d8e021f22946b14e07d764af83422be6adfe7abe31b5b402962997597e6470403a09041bf1968ef93be878c3d8bc89064	generated_voice_en_37323803.mp3	Jef Raskin jokingly stated: Yes, we named our software after a bug.	These references could involve the price control applied to the company.
common_voice_en_37799330.mp3	1ecd97a3ae3856c035bb1285fc21231ff1baca87dec6837ba820c27a49d41c26bc33018845e7ade684ad582532e34ebcc27ea8bad6181acf0b2b2032440c285f	generated_voice_en_37799330.mp3	Archaeological evidence and old drawings indicate that many more once existed.	Ash later announced he would not go.
common_voice_en_37433497.mp3	1ed08d5d71e18d16c8707b187713464a7e07e17364c7cff3c86dabe5ae58c6a21ef39a193d13c2cc51676c0c01cc3c45b1c1a25d9cbf92618defbc2ad9220398	generated_voice_en_37433497.mp3	A basketball was too heavy while the basketball bladder was too light.	Flagler and his family relocated there as well.
common_voice_en_38006516.mp3	203ffbcab8c5cfd92e21c94fa9eb3350edc7d3847e33545d0e7ad64d2da6eca63ccc29c753be477a431c492c6900c933e88ab6d5bb918a9ca50b5c065d54860e	generated_voice_en_38006516.mp3	Todman was born and raised in the United States Virgin Islands.	Shortly thereafter, the group announced touring plans opening for the progressive metal band Tool.
common_voice_en_37506916.mp3	2087eba48cfe95f170842c028b7fb3e5cadee6c08185d4b5e7d8afa373d104f890d5e747563af0eaa8c617fbd7d92c8d003330a3e8060ab0986c49eb88ddb4ba	generated_voice_en_37506916.mp3	It was the first and last time Hitler watched a football match.	She has since given birth to a second child.
common_voice_en_37463815.mp3	22cd638ad5a63849f361b28181c4842799da84f4e086c185d9a0b7e89ef3e7e94e65c854e824de3458492ed4e54c94bbe6fd9b48a9e50f04caff3e7232eaef4b	generated_voice_en_37463815.mp3	"The book contains Coleridge's celebrated and vexed distinction between ""imagination"" and ""fancy""."	The station is open to visitors during the summer months.
common_voice_en_37344370.mp3	23c57e2ba3e0918e44855a5f5b080ad3686f9f77d4c9f63a5d14252ed4ce4d2c784dcef80ae47f1053873d799d889035429933c5e82c46d0da52cadb5dc41b17	generated_voice_en_37344370.mp3	He was introduced into silver screen by Wilson Karu.	It is operated by Severn Trent Water as a domestic water storage reservoir.
common_voice_en_37432703.mp3	2461c02d18303f9faaa3cec1764d2211583e724a86fa92575093376a3990f937f02a1abd8eb00fbfed992859d3006a9ebb12507fb5877361dde0574185d67a97	generated_voice_en_37432703.mp3	His internal organs were sent to the church of Saint Martin at Halle.	What it was he would not say.
common_voice_en_37511524.mp3	27459c808cb85beb517547e1444c4b4a8fbae2e6dde9d75ee0465dc1ffd88e1da85147ec511905402eea6c3b8961a4a0ca3278b372b247a63c8b038adacae9ba	generated_voice_en_37511524.mp3	Mech looks at high-tech policing in the future.	Many students choose to write Advanced Placement exams.
common_voice_en_37559211.mp3	29562069a5048d7b83886e55d02aca1700bdf199fce0f44d354144a7096c27e656bca721f2f9aae7d02b6c195d1e5b8df3324242420a4d0593f00cee6039d968	generated_voice_en_37559211.mp3	He had six children, three boys and three girls.	"He is introduced in ""The Silmarillion"" as the first of the Dragons."
common_voice_en_37475392.mp3	2b902a13adcdc7e545957b8bccb9e1d935f44971271f35e079355ff66d742aff38d2f41a9eb33e548f388f237649ee1e96776e078071f5d10ce84cd4c3599be1	generated_voice_en_37475392.mp3	He gives you confidence.	As a result, touring for this album was minimal.
common_voice_en_37617995.mp3	2c1fe69c127b70d64069a28d17027cb3471c90b64c1834d819b6f6d41dcfab74123574f2351b955a794e349615fb2ca2c1a0a0507972a25d99711f58f5c9e667	generated_voice_en_37617995.mp3	Morgan received Figure along with two other horses as payment of a debt.	The Fermat-Catalan conjecture is an open conjecture dealing with such cases.
common_voice_en_37543489.mp3	2cffd0d7f6d725e623f24321185bd64eb4bd7c3ded6eea0c1a8040f5f4bbdf205e35cca0c2eeab415e0ba3394c461e3b4e340ed0c5ba6a00c420e45447387703	generated_voice_en_37543489.mp3	Amateur champion who went on to play the Champions Tour.	Voters were able to cast up to five votes.
common_voice_en_37553048.mp3	2da9e60908936537f5ff582152662d84953abbf2fd875f150528a4fa959d54cebee0a52b386181f0ed8a806680d9738a880834001343075400cc1045f5c59359	generated_voice_en_37553048.mp3	In her complex nature it is perhaps possible to detect the original nucleus.	Massoud has stated his desire to negotiate with the Taliban.
common_voice_en_37778073.mp3	2edf2d5e1ce320a4b8f454b1ee8fd81f21743b43d991b888f40f3654c4bcc048c258a8da00cb23d619b93b9fedeab9d7eeb2ad54163ed3381c5548c0848fdd80	generated_voice_en_37778073.mp3	You come into the world and then you go.	It was written, directed, produced and edited by Ozan Duru Adam.
